REF_DATE,Industry,Employed_000s,Year,Month,Month_Name,Quarter,Year_Month,Industry_Clean
2020-11-01,"Agriculture [111-112, 1100, 1151-1152]",283.4,2020,11,Nov,Q4,2020-11,Agriculture
2020-12-01,"Agriculture [111-112, 1100, 1151-1152]",267.7,2020,12,Dec,Q4,2020-12,Agriculture
2021-01-01,"Agriculture [111-112, 1100, 1151-1152]",249.5,2021,1,Jan,Q1,2021-01,Agriculture
2021-02-01,"Agriculture [111-112, 1100, 1151-1152]",251.4,2021,2,Feb,Q1,2021-02,Agriculture
2021-03-01,"Agriculture [111-112, 1100, 1151-1152]",261.9,2021,3,Mar,Q1,2021-03,Agriculture
2021-04-01,"Agriculture [111-112, 1100, 1151-1152]",271.7,2021,4,Apr,Q2,2021-04,Agriculture
2021-05-01,"Agriculture [111-112, 1100, 1151-1152]",282.6,2021,5,May,Q2,2021-05,Agriculture
2021-06-01,"Agriculture [111-112, 1100, 1151-1152]",278.1,2021,6,Jun,Q2,2021-06,Agriculture
2021-07-01,"Agriculture [111-112, 1100, 1151-1152]",281.0,2021,7,Jul,Q3,2021-07,Agriculture
2021-08-01,"Agriculture [111-112, 1100, 1151-1152]",271.9,2021,8,Aug,Q3,2021-08,Agriculture
2021-09-01,"Agriculture [111-112, 1100, 1151-1152]",258.3,2021,9,Sep,Q3,2021-09,Agriculture
2021-10-01,"Agriculture [111-112, 1100, 1151-1152]",254.3,2021,10,Oct,Q4,2021-10,Agriculture
2021-11-01,"Agriculture [111-112, 1100, 1151-1152]",248.3,2021,11,Nov,Q4,2021-11,Agriculture
2021-12-01,"Agriculture [111-112, 1100, 1151-1152]",232.9,2021,12,Dec,Q4,2021-12,Agriculture
2022-01-01,"Agriculture [111-112, 1100, 1151-1152]",232.9,2022,1,Jan,Q1,2022-01,Agriculture
2022-02-01,"Agriculture [111-112, 1100, 1151-1152]",236.4,2022,2,Feb,Q1,2022-02,Agriculture
2022-03-01,"Agriculture [111-112, 1100, 1151-1152]",239.8,2022,3,Mar,Q1,2022-03,Agriculture
2022-04-01,"Agriculture [111-112, 1100, 1151-1152]",249.1,2022,4,Apr,Q2,2022-04,Agriculture
2022-05-01,"Agriculture [111-112, 1100, 1151-1152]",270.4,2022,5,May,Q2,2022-05,Agriculture
2022-06-01,"Agriculture [111-112, 1100, 1151-1152]",275.0,2022,6,Jun,Q2,2022-06,Agriculture
2022-07-01,"Agriculture [111-112, 1100, 1151-1152]",280.7,2022,7,Jul,Q3,2022-07,Agriculture
2022-08-01,"Agriculture [111-112, 1100, 1151-1152]",287.9,2022,8,Aug,Q3,2022-08,Agriculture
2022-09-01,"Agriculture [111-112, 1100, 1151-1152]",273.2,2022,9,Sep,Q3,2022-09,Agriculture
2022-10-01,"Agriculture [111-112, 1100, 1151-1152]",274.2,2022,10,Oct,Q4,2022-10,Agriculture
2022-11-01,"Agriculture [111-112, 1100, 1151-1152]",260.7,2022,11,Nov,Q4,2022-11,Agriculture
2022-12-01,"Agriculture [111-112, 1100, 1151-1152]",260.7,2022,12,Dec,Q4,2022-12,Agriculture
2023-01-01,"Agriculture [111-112, 1100, 1151-1152]",242.1,2023,1,Jan,Q1,2023-01,Agriculture
2023-02-01,"Agriculture [111-112, 1100, 1151-1152]",241.3,2023,2,Feb,Q1,2023-02,Agriculture
2023-03-01,"Agriculture [111-112, 1100, 1151-1152]",246.7,2023,3,Mar,Q1,2023-03,Agriculture
2023-04-01,"Agriculture [111-112, 1100, 1151-1152]",251.7,2023,4,Apr,Q2,2023-04,Agriculture
2023-05-01,"Agriculture [111-112, 1100, 1151-1152]",274.4,2023,5,May,Q2,2023-05,Agriculture
2023-06-01,"Agriculture [111-112, 1100, 1151-1152]",268.1,2023,6,Jun,Q2,2023-06,Agriculture
2023-07-01,"Agriculture [111-112, 1100, 1151-1152]",287.7,2023,7,Jul,Q3,2023-07,Agriculture
2023-08-01,"Agriculture [111-112, 1100, 1151-1152]",276.6,2023,8,Aug,Q3,2023-08,Agriculture
2023-09-01,"Agriculture [111-112, 1100, 1151-1152]",262.4,2023,9,Sep,Q3,2023-09,Agriculture
2023-10-01,"Agriculture [111-112, 1100, 1151-1152]",267.1,2023,10,Oct,Q4,2023-10,Agriculture
2023-11-01,"Agriculture [111-112, 1100, 1151-1152]",248.9,2023,11,Nov,Q4,2023-11,Agriculture
2023-12-01,"Agriculture [111-112, 1100, 1151-1152]",228.8,2023,12,Dec,Q4,2023-12,Agriculture
2024-01-01,"Agriculture [111-112, 1100, 1151-1152]",211.9,2024,1,Jan,Q1,2024-01,Agriculture
2024-02-01,"Agriculture [111-112, 1100, 1151-1152]",207.6,2024,2,Feb,Q1,2024-02,Agriculture
2024-03-01,"Agriculture [111-112, 1100, 1151-1152]",211.2,2024,3,Mar,Q1,2024-03,Agriculture
2024-04-01,"Agriculture [111-112, 1100, 1151-1152]",214.4,2024,4,Apr,Q2,2024-04,Agriculture
2024-05-01,"Agriculture [111-112, 1100, 1151-1152]",233.6,2024,5,May,Q2,2024-05,Agriculture
2024-06-01,"Agriculture [111-112, 1100, 1151-1152]",247.8,2024,6,Jun,Q2,2024-06,Agriculture
2024-07-01,"Agriculture [111-112, 1100, 1151-1152]",259.7,2024,7,Jul,Q3,2024-07,Agriculture
2024-08-01,"Agriculture [111-112, 1100, 1151-1152]",260.0,2024,8,Aug,Q3,2024-08,Agriculture
2024-09-01,"Agriculture [111-112, 1100, 1151-1152]",244.4,2024,9,Sep,Q3,2024-09,Agriculture
2024-10-01,"Agriculture [111-112, 1100, 1151-1152]",239.7,2024,10,Oct,Q4,2024-10,Agriculture
2024-11-01,"Agriculture [111-112, 1100, 1151-1152]",228.3,2024,11,Nov,Q4,2024-11,Agriculture
2024-12-01,"Agriculture [111-112, 1100, 1151-1152]",221.3,2024,12,Dec,Q4,2024-12,Agriculture
2019-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.7,2019,1,Jan,Q1,2019-01,"Forestry, fishing, mining, quarrying, oil and gas"
2019-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",341.1,2019,2,Feb,Q1,2019-02,"Forestry, fishing, mining, quarrying, oil and gas"
2019-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",335.3,2019,3,Mar,Q1,2019-03,"Forestry, fishing, mining, quarrying, oil and gas"
2019-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",327.6,2019,4,Apr,Q2,2019-04,"Forestry, fishing, mining, quarrying, oil and gas"
2019-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",339.3,2019,5,May,Q2,2019-05,"Forestry, fishing, mining, quarrying, oil and gas"
2019-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",341.0,2019,6,Jun,Q2,2019-06,"Forestry, fishing, mining, quarrying, oil and gas"
2019-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.7,2019,7,Jul,Q3,2019-07,"Forestry, fishing, mining, quarrying, oil and gas"
2019-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",330.9,2019,8,Aug,Q3,2019-08,"Forestry, fishing, mining, quarrying, oil and gas"
2019-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",327.9,2019,9,Sep,Q3,2019-09,"Forestry, fishing, mining, quarrying, oil and gas"
2019-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",330.5,2019,10,Oct,Q4,2019-10,"Forestry, fishing, mining, quarrying, oil and gas"
2019-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",320.0,2019,11,Nov,Q4,2019-11,"Forestry, fishing, mining, quarrying, oil and gas"
2019-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",321.0,2019,12,Dec,Q4,2019-12,"Forestry, fishing, mining, quarrying, oil and gas"
2020-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",313.8,2020,1,Jan,Q1,2020-01,"Forestry, fishing, mining, quarrying, oil and gas"
2020-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",312.7,2020,2,Feb,Q1,2020-02,"Forestry, fishing, mining, quarrying, oil and gas"
2020-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",309.4,2020,3,Mar,Q1,2020-03,"Forestry, fishing, mining, quarrying, oil and gas"
2020-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",279.2,2020,4,Apr,Q2,2020-04,"Forestry, fishing, mining, quarrying, oil and gas"
2020-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",301.6,2020,5,May,Q2,2020-05,"Forestry, fishing, mining, quarrying, oil and gas"
2020-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",305.6,2020,6,Jun,Q2,2020-06,"Forestry, fishing, mining, quarrying, oil and gas"
2020-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",312.8,2020,7,Jul,Q3,2020-07,"Forestry, fishing, mining, quarrying, oil and gas"
2020-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",303.9,2020,8,Aug,Q3,2020-08,"Forestry, fishing, mining, quarrying, oil and gas"
2020-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",297.9,2020,9,Sep,Q3,2020-09,"Forestry, fishing, mining, quarrying, oil and gas"
2020-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",309.8,2020,10,Oct,Q4,2020-10,"Forestry, fishing, mining, quarrying, oil and gas"
2020-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",313.9,2020,11,Nov,Q4,2020-11,"Forestry, fishing, mining, quarrying, oil and gas"
2020-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",320.7,2020,12,Dec,Q4,2020-12,"Forestry, fishing, mining, quarrying, oil and gas"
2021-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",315.7,2021,1,Jan,Q1,2021-01,"Forestry, fishing, mining, quarrying, oil and gas"
2021-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",315.8,2021,2,Feb,Q1,2021-02,"Forestry, fishing, mining, quarrying, oil and gas"
2021-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",312.1,2021,3,Mar,Q1,2021-03,"Forestry, fishing, mining, quarrying, oil and gas"
2021-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",312.9,2021,4,Apr,Q2,2021-04,"Forestry, fishing, mining, quarrying, oil and gas"
2021-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.9,2021,5,May,Q2,2021-05,"Forestry, fishing, mining, quarrying, oil and gas"
2021-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",341.8,2021,6,Jun,Q2,2021-06,"Forestry, fishing, mining, quarrying, oil and gas"
2021-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",346.5,2021,7,Jul,Q3,2021-07,"Forestry, fishing, mining, quarrying, oil and gas"
2021-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",327.9,2021,8,Aug,Q3,2021-08,"Forestry, fishing, mining, quarrying, oil and gas"
2021-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",335.6,2021,9,Sep,Q3,2021-09,"Forestry, fishing, mining, quarrying, oil and gas"
2021-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",324.7,2021,10,Oct,Q4,2021-10,"Forestry, fishing, mining, quarrying, oil and gas"
2021-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",314.7,2021,11,Nov,Q4,2021-11,"Forestry, fishing, mining, quarrying, oil and gas"
2021-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",325.4,2021,12,Dec,Q4,2021-12,"Forestry, fishing, mining, quarrying, oil and gas"
2022-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",321.4,2022,1,Jan,Q1,2022-01,"Forestry, fishing, mining, quarrying, oil and gas"
2022-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",324.1,2022,2,Feb,Q1,2022-02,"Forestry, fishing, mining, quarrying, oil and gas"
2022-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",328.5,2022,3,Mar,Q1,2022-03,"Forestry, fishing, mining, quarrying, oil and gas"
2022-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",324.1,2022,4,Apr,Q2,2022-04,"Forestry, fishing, mining, quarrying, oil and gas"
2022-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",350.3,2022,5,May,Q2,2022-05,"Forestry, fishing, mining, quarrying, oil and gas"
2022-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",337.5,2022,6,Jun,Q2,2022-06,"Forestry, fishing, mining, quarrying, oil and gas"
2022-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",335.2,2022,7,Jul,Q3,2022-07,"Forestry, fishing, mining, quarrying, oil and gas"
2022-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",332.3,2022,8,Aug,Q3,2022-08,"Forestry, fishing, mining, quarrying, oil and gas"
2022-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",327.3,2022,9,Sep,Q3,2022-09,"Forestry, fishing, mining, quarrying, oil and gas"
2022-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",320.0,2022,10,Oct,Q4,2022-10,"Forestry, fishing, mining, quarrying, oil and gas"
2022-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",317.3,2022,11,Nov,Q4,2022-11,"Forestry, fishing, mining, quarrying, oil and gas"
2022-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",319.5,2022,12,Dec,Q4,2022-12,"Forestry, fishing, mining, quarrying, oil and gas"
2023-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",319.2,2023,1,Jan,Q1,2023-01,"Forestry, fishing, mining, quarrying, oil and gas"
2023-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",326.2,2023,2,Feb,Q1,2023-02,"Forestry, fishing, mining, quarrying, oil and gas"
2023-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",315.1,2023,3,Mar,Q1,2023-03,"Forestry, fishing, mining, quarrying, oil and gas"
2023-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",310.5,2023,4,Apr,Q2,2023-04,"Forestry, fishing, mining, quarrying, oil and gas"
2023-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",339.2,2023,5,May,Q2,2023-05,"Forestry, fishing, mining, quarrying, oil and gas"
2023-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",341.3,2023,6,Jun,Q2,2023-06,"Forestry, fishing, mining, quarrying, oil and gas"
2023-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",337.3,2023,7,Jul,Q3,2023-07,"Forestry, fishing, mining, quarrying, oil and gas"
2023-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",341.0,2023,8,Aug,Q3,2023-08,"Forestry, fishing, mining, quarrying, oil and gas"
2023-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",337.8,2023,9,Sep,Q3,2023-09,"Forestry, fishing, mining, quarrying, oil and gas"
2023-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.2,2023,10,Oct,Q4,2023-10,"Forestry, fishing, mining, quarrying, oil and gas"
2023-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",328.6,2023,11,Nov,Q4,2023-11,"Forestry, fishing, mining, quarrying, oil and gas"
2023-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",340.1,2023,12,Dec,Q4,2023-12,"Forestry, fishing, mining, quarrying, oil and gas"
2024-01-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.4,2024,1,Jan,Q1,2024-01,"Forestry, fishing, mining, quarrying, oil and gas"
2024-02-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",343.3,2024,2,Feb,Q1,2024-02,"Forestry, fishing, mining, quarrying, oil and gas"
2024-03-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",344.1,2024,3,Mar,Q1,2024-03,"Forestry, fishing, mining, quarrying, oil and gas"
2024-04-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",347.4,2024,4,Apr,Q2,2024-04,"Forestry, fishing, mining, quarrying, oil and gas"
2024-05-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",369.0,2024,5,May,Q2,2024-05,"Forestry, fishing, mining, quarrying, oil and gas"
2024-06-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",371.4,2024,6,Jun,Q2,2024-06,"Forestry, fishing, mining, quarrying, oil and gas"
2024-07-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",373.2,2024,7,Jul,Q3,2024-07,"Forestry, fishing, mining, quarrying, oil and gas"
